,File,File_Size,Creation_Date,File_Description,IFC_File_Name,IFC_Organization,IFC_Application,Location,latitude,longitude
20,%E9%A1%B9%E7%9B%AE1.ifc,0.01796627,Thu Sep 24 18:32:54 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
21,%E9%A1%B9%E7%9B%AE1_.ifc,0.020131111,Tue Nov 24 17:36:30 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
22,%E9%A1%B9%E7%9B%AE1_rotate.ifc,0.018112183,Fri Nov 13 16:02:50 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
23,%E9%A1%B9%E7%9B%AE2.ifc,0.028574944,Fri Sep 25 15:25:08 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
24,%E9%A1%B9%E7%9B%AE3.ifc,0.41573143,Sat Oct 10 15:05:02 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
25,%E9%A1%B9%E7%9B%AE4.ifc,0.056137085,Tue Sep 29 16:27:30 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
26,%E9%A1%B9%E7%9B%AE5.ifc,54.37020969,Mon Nov 02 14:30:55 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
27,%E9%A1%B9%E7%9B%AE6.ifc,78.22869301,Mon Nov 02 14:39:31 2015,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20140223_1515x64 - Exporter 2015.0.2014.0223 - Default UI,
",,"2015,Autodesk Revit 2015 (CHS),Revit
",,,
28,%E9%A9%AC%E6%A1%B6.ifc,0.782025337,Wed Jun 14 13:22:39 2017,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.01.0100.02.64mod : 6 Jun 2012,20130308_1515x64 - Exporter 2014.0.2013.0308 - Default UI,
",,"2014,Autodesk Revit 2014 (CHS),Revit
",,,
29,%E9%A9%AC%E6%A1%B6_%E5%A4%9A%E4%B8%AA.ifc,0.842043877,Wed Jun 14 13:42:33 2017,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.01.0100.02.64mod : 6 Jun 2012,20130308_1515x64 - Exporter 2014.0.2013.0308 - Default UI,
",,"2014,Autodesk Revit 2014 (CHS),Revit
",,,
30,-RFEM-Example-06.ifc,0.041439056,,"
","
",Dlubal company," 5.12.02.138917, RFEM, 
",,,
31,0.1.ifc,0.147549629,," 2,1","Processor version 5.0.0.0, Xbim.IO.MemoryModel, 
",Martin \X2\010C\X0\ern\X\FD,"0.91,Datab\X\E1ze datov\X\E9ho standardu stavebnictv\X\ED,DDSS
",,,
32,0.ifc,17.04050541,,"CoordinationView,2,1","Autodesk Revit Architecture 2011 - 1.0,20100326_1700,
",,"2011,Autodesk Revit Architecture 2011,Revit
",,,
33,00.ifc,10.67570782,Mon Mar 14 11:49:43 2022,"CoordinationView_V2.0,ExchangeRequirementArchitecture,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,22.0.2.392 - Exporter 22.0.2.392 - \X2\0410043B044C044204350440043D0430044204380432043D044B0439\X0\ \X2\0438043D0442043504400444043504390441\X0\ 22.0.2.392,
",,"2022,Autodesk Revit 2022 (RUS),Revit
",,,
34,0000-Referansebygg.ifc,2.856033325,Mon Aug 24 13:35:35 2015,"2,1","F:/Database/Database1119_4020\\db1.fm_100.0000_Referansebygg_ArK_V2,
","Jotne EPM Technology AS,EPM Technology AS,","613,2.0,EDMmodelServer(IFC),EDMMSIFC2
",,,
35,0006_IFC4_Export_Group.ifc,0.236260414,,"ReferenceView_V1.2,ExchangeRequirementArchitecture,2,1","ODA IFC SDK 22.8,22.1.10.541 - Exporter 22.4.0.0 - Alternate UI 22.4.0.0,
",,"2022,Autodesk Revit 2022 (ENU),Revit
","165th Street Southeast, Kandiyohi County, Minnesota, 56253, United States",44.994285,-94.818867
36,0006_IFC4_Export_Group_CertainWall.ifc,0.038347244,,"ReferenceView_V1.2,ExchangeRequirementArchitecture,2,1","ODA IFC SDK 22.8,22.1.10.541 - Exporter 22.4.0.0 - Alternate UI 22.4.0.0,
",,"2022,Autodesk Revit 2022 (ENU),Revit
","165th Street Southeast, Kandiyohi County, Minnesota, 56253, United States",44.994285,-94.818867
37,0006_IFC4_Export_Group_CertainWall_Counter_Merge.ifc,0.056084633,,"ReferenceView_V1.2, 2,1","ODA IFC SDK 22.8, 22.1.10.541 - Exporter 22.4.0.0 - Alternate UI 22.4.0.0, 
",Autodesk Revit 2022 (ENU)," 2022, Autodesk Revit 2022 (ENU), Revit
","165th Street Southeast, Kandiyohi County, Minnesota, 56253, United States",44.994285,-94.818867
38,0006_IFC4_Export_Group_Counter.ifc,0.029966354,,"ReferenceView_V1.2,ExchangeRequirementArchitecture,2,1","ODA IFC SDK 22.8,22.1.10.541 - Exporter 22.4.0.0 - Alternate UI 22.4.0.0,
",,"2022,Autodesk Revit 2022 (ENU),Revit
","165th Street Southeast, Kandiyohi County, Minnesota, 56253, United States",44.994285,-94.818867
39,0006_IFC4_Export_Mechanical.ifc,0.042256355,,"ReferenceView_V1.2,ExchangeRequirementArchitecture,2,1","ODA IFC SDK 22.8,22.1.10.541 - Exporter 22.4.0.0 - Alternate UI 22.4.0.0,
",,"2022,Autodesk Revit 2022 (ENU),Revit
","165th Street Southeast, Kandiyohi County, Minnesota, 56253, United States",44.994285,-94.818867
40,0006_IFC4_Export_Shade.ifc,0.018419266,,"ReferenceView_V1.2,ExchangeRequirementArchitecture,2,1","ODA IFC SDK 22.8,22.1.10.541 - Exporter 22.4.0.0 - Alternate UI 22.4.0.0,
",,"2022,Autodesk Revit 2022 (ENU),Revit
","165th Street Southeast, Kandiyohi County, Minnesota, 56253, United States",44.994285,-94.818867
41,000_Levels_Grids_Content.ifc,0.012114525,,"Ifc4NotAssigned,2,1","
",Geometry Gym Pty Ltd," v0.9.58.0,ggRevitIFCv2023 - Exporter Plugin by Geometry Gym Pty Ltd,ggRevitIFCv2023
",,,
42,001.ifc,0.171340942,5/7/2020 18:42,"CoordinationView_V2.0, QuantityTakeOffAddOnView,2,1","Glasgow Caledonian University,CSV-TO-RDF and RDF-TO-IFC APIs,Research IFC generator v.1.0,
","GCU,Glasgow Caledonian University,Educational Institution,(Education),(GCU Campus)","2019,Autodesk Revit 2019 ENU,Revit
"," Glasgow , Glasgow , G4 0BA , United Kingdom  ",55.8609825,-4.2488787
43,002.ifc,2.094640732,,"CoordinationView_V2.0, QuantityTakeOffAddOnView,2,1","IFC Database Version:Work,Tekla Structures 20.1 Service Release 1, IFC Export Version: 4.0.0.0 Nov  3 2014,
",Tekla,"20.1 Service Release 1,Tekla Structures,Multi material modeling
",,,
44,002.NP_A.ifc,11.73852539,Wed Jun 27 14:58:52 2018,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (ENU),Revit
",,,
45,01.ifc,23.35229683,,"CoordinationView,ExchangeRequirement,2,1","ODA IFC SDK 22.6,22.1.1.516 - Exporter 22.1.1.516 - Default UI,
",Mutaa Al-Hashimi Architects,"2022,Autodesk Revit 2022 (ENU),Revit
","Baghdad,  Iraq  ",33.3061701,44.3872213
46,01F_Exterior%20walls%20details.ifc,1.096796036,,"CoordinationView,2,1","IfcOpenShell,IfcOpenShell,
",uncreatednet,"0.17 build 9421 (Git),FreeCAD,118df2cf_ed21_438e_a41
",,,
47,01_BIMcollab_Example_ARC.ifc,24.78702641,,", SurfaceGeometryAddOnView, QuantityTakeOffAddOnView, SpaceBoundary2ndLevelAddOnView,OptionDrawing Scale: 100.000000,OptionGlobal Unique Identifiers GUID: Keep existing,OptionElements to export: Visible elements on all stories,OptionPartial Structure Display: Entire Model,OptionIFC Domain: All,OptionStructural Function: All Elements,OptionConvert Grid elements: On,OptionConvert IFC Annotations and ARCHICAD 2D elements: Off,OptionConvert 2D symbols of Doors and Windows: Off,OptionExplode Composite and Complex Profile elements into parts: On,OptionExport geometries that Participates in Collision Detection only: On,OptionTriangulate Surfaces: Off,OptionUse legacy geometric methods as in Coordination View 1.0: Off,OptionIFC Site Geometry: As boundary representation BRep,OptionIFC Site Location: At Project Origin,OptionProperties To Export: All properties,OptionSpace containment: On,OptionBounding Box: On,OptionGeometry to type objects: On,OptionElement Properties: Off,OptionElement Parameters: Off,OptionIFC Base Quantities: On,OptionWindow Door Lining and Panel Parameters: On,OptionIFC Space boundaries: On,OptionARCHICAD Zone Categories as IFC Space classification data: Off,2,1","The EXPRESS Data Manager Version 5.02.0100.09 : 26 Sep 2013,IFC file generated by GRAPHISOFT ARCHICAD-64 20.0.0 NED FULL Macintosh version IFC2x3 add-on version: 3016 NED FULL.,The authorising person
",Graphisoft,"20.0.0,ARCHICAD-64,IFC2x3 add-on version: 3016 NED FULL
",,,
48,01_General-Classroom1111.ifc,3.810827255,Tue Jan 03 11:31:35 2017,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",Department of Education & Skills,"2017,Autodesk Revit 2017 (ENU),Revit
","Tullamore, Tullamore Urban ED, The Municipal District of Tullamore, County Offaly, Leinster, R35 P761, Éire / Ireland",53.270711649999996,-7.48416078738189
49,02.ifc,53.74774361,Tue Jan 12 15:32:57 2021,"CoordinationView_V2.0, QuantityTakeOffAddOnView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20190808_0900x64 - Exporter 19.2.20.24 - Alternate UI 19.2.20.24,
",,"2019,Autodesk Revit 2019 (ENG),Revit
","Stasjonsveien, Persbråten, Vestre Aker, Oslo, 0768, Norge",59.9466783,10.6562647
50,022A_OEFW_5-4_Test_ifc_4-0_200603.ifc,0.123372078,,"ReferenceView, 2,1","IfcEngine 609, ProVI, 
","ProVI GmbH, wwwprovi-cadde, , "," 6.1, Programmsystem f\X2\00FC\X0\r Verkehrs- und Infrastrukturplanung, ProVI
","Munchen ,  Bayern ,  81373 ,  Germany  ",48.1371079,11.5753822
51,022A_OEFW_5-4_Test_ifc_4-1_200603.ifc,0.013676643,,"AlignmentReferenceView, 2,1","IfcEngine 609, ProVI, 
","ProVI GmbH, wwwprovi-cadde, , "," 6.1, Programmsystem f\X2\00FC\X0\r Verkehrs- und Infrastrukturplanung, ProVI
","Munchen ,  Bayern ,  81373 ,  Germany  ",48.1371079,11.5753822
52,02R_Exterior%20walls%20details.ifc,1.187104225,Wed Dec 28 14:22:52 2016,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20150714_1515x64 - Exporter 16.5.0.0 - Alternate UI 16.5.0.0,
",,"2016,Autodesk Revit 2016 (ENU),Revit
",,,
53,02_BIMcollab_Example_STR.ifc,0.605089188,Tue Oct 04 15:12:28 2016,"CoordinationView_V2.0, QuantityTakeOffAddOnView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20141119_0715x64 - Exporter 15.0.2.0 - Alternate UI 15.0.2.0,
",,"2015,Autodesk Revit Architecture 2015 (ENU),Revit
","Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041
54,02_ifcFacetedBrep.ifc,0.012674332,,"CoordinationView,2,1","IfcOpenShell,IfcOpenShell,
","ACME,Does everything,,","0.0.1,Blender BIM IFC,118df2cf_ed21_438e_a41
",,,
55,02_Material%20tag%20test_one%20material.ifc,0.038989067,Thu Jan 31 21:14:44 2019,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20180216_1515x64 - Exporter 19.1.0.0 - Alternate UI 19.1.0.0,
",,"2019,Autodesk Revit 2019 (ENU),Revit
","Laguna Beach , CA  USA  ",33.5426975,-117.785366
56,03.ifc,47.00371456,,"
","
",Graphisoft,"18.0.0,ArchiCAD-64,
","Nijmegen, Gelderland, Nederland",51.842574850000005,5.838960628748229
57,0302_0.ifc,1.981441498,,"CoordinationView_V2.0, QuantityTakeOffAddOnView, ExchangeRequirementStructural, SurfaceGeometry, OptionBaseQuantities:On, OptionGridExport:On, OptionAssemblies:Off, OptionBolts:On, OptionRebars:On, OptionPourObjects:Off, OptionWelds:Off, OptionSurfaceTreatments:On, OptionLocationBy:0, OptionViewColors:Off, OptionSectionedSpine:Off, OptionPropertySets:On, OptionExport all:Off,2,1","IFC Database Version: Work,Tekla Structures 2019 Service Pack 9, IFC Export Version: 4.0.0.0 Nov 18 2020,
",Trimble,"2019 Service Pack 9,Tekla Structures,Multi material modeling
",,,
58,0302_2.ifc,0.254076958,,"CoordinationView_V2.0, QuantityTakeOffAddOnView, ExchangeRequirementStructural, SurfaceGeometry, OptionBaseQuantities:On, OptionGridExport:On, OptionAssemblies:Off, OptionBolts:On, OptionRebars:On, OptionPourObjects:Off, OptionWelds:Off, OptionSurfaceTreatments:On, OptionLocationBy:0, OptionViewColors:Off, OptionSectionedSpine:Off, OptionPropertySets:On, OptionExport all:Off,2,1","IFC Database Version: Work,Tekla Structures 2019 Service Pack 9, IFC Export Version: 4.0.0.0 Nov 18 2020,
",Trimble,"2019 Service Pack 9,Tekla Structures,Multi material modeling
",,,
59,0302_3.ifc,0.307091713,,"CoordinationView_V2.0, QuantityTakeOffAddOnView, ExchangeRequirementStructural, SurfaceGeometry, OptionBaseQuantities:On, OptionGridExport:On, OptionAssemblies:Off, OptionBolts:On, OptionRebars:On, OptionPourObjects:Off, OptionWelds:Off, OptionSurfaceTreatments:On, OptionLocationBy:0, OptionViewColors:Off, OptionSectionedSpine:Off, OptionPropertySets:On, OptionExport all:Off,2,1","IFC Database Version: Work,Tekla Structures 2019 Service Pack 9, IFC Export Version: 4.0.0.0 Nov 18 2020,
",Trimble,"2019 Service Pack 9,Tekla Structures,Multi material modeling
",,,
60,03_BIMcollab_Example_MEP.ifc,42.95006084,,"CoordinationView,2,1","DDS-IFC v2.0,DDS-CAD Version 9 Win32 build 13/11-2013,DDS
",Data Design System | wwwdds-cadcom,"Version 9 Win32 build 13/11-2013,DDS-CAD,DDS-CAD Version 9 Win32 build 13/11-2013
",,,
61,04.ifc,13.79353619,Mon May 09 01:33:29 2022,"CoordinationView,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,21.1.21.45 - Exporter 21.1.21.45 - Default UI,
",,"2021,Autodesk Revit 2021 (ENU),Revit
","شارع الكويتي, مدينة رأس الخيمة, رأس الخيمة, الإمارات العربية المتحدة",25.7953216,55.9424037
62,04D_Str.ifc,0.55654335,,"CoordinationView_V2.0,2,1","BricsCAD BIM,BricsCAD BIM,BricsCAD BIM
",Bricsys,"V21,BricsCAD BIM,Bcad
",,,
63,04R_Exterior%20walls%20details.ifc,0.069516182,Wed Dec 28 20:52:08 2016,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20150714_1515x64 - Exporter 16.5.0.0 - Alternate UI 16.5.0.0,
",,"2016,Autodesk Revit 2016 (ENU),Revit
",,,
64,04_BIMcollab_Example_Elevatorshaft.ifc,1.30782032,,"CoordinationView, QuantityTakeOffAddOnView,2,1","IFC Database Version:Work,Tekla Structures 19.1 Service Release 1, IFC Export Version: 4.0.0.0 Oct 14 2013,
",Tekla,"19.1 Service Release 1,Tekla Structures,Multi material modeling
",,,
65,04_Flat.ifc,0.250948906,Tue Aug 01 00:56:32 2017,"DesignTransferView_V1.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20160225_1515x64 - Exporter 17.0.416.0 - Alternate UI 17.12.14.0,
",,"2017,Autodesk Revit 2017 (ENU),Revit
","Boston, Suffolk County, Massachusetts, United States",42.3554334,-71.060511
66,04_ifcFacetedBrep.ifc,0.00746727,Sat Dec 07 12:35:33 2019,"DesignTransferView_V1.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,20190108_1515x64 - Exporter 19.2.1.1 - Alternate UI 19.2.1.1,
",,"2019,Autodesk Revit 2019 (ENU),Revit
",,,
67,05.ifc,43.21737671,Sun Jan 31 17:58:34 2021,"CoordinationView_V2.0,2,1","The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013,21.0.0.383 - Exporter 21.0.0.383 - IU alternativa 21.0.0.383,
",,"2021,Autodesk Revit 2021 (ESP),Revit
","Manchester, Hillsborough County, New Hampshire, United States",42.9956397,-71.4547891
68,05111002_IFCR2_Geo_Columns_1.ifc,0.029165268,,"
","
","BLIS,,,","Microsoft Visio,
",,,
69,051200ALR1A.ifc,0.0051651,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
70,051200ALR1B.ifc,0.0051651,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
71,051200ALR2A.ifc,0.005162239,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
72,051200ALR2B.ifc,0.0051651,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
73,051200TA001.ifc,0.020599365,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
74,052300FK001.ifc,0.033949852,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
75,054600CK001A.ifc,0.013976097,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
76,054600VB001.ifc,0.022275925,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
77,05AG13000112A36V.ifc,0.008602142,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
78,05AG1900001103DV.ifc,0.005327225,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
79,05AG19000022A36V.ifc,0.02248764,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
80,05AG19000032A36V.ifc,0.007223129,,"CoordinationView,2,1","IFC.JAVA 0.1.0,Antea IFC Export 0.1.0,
","Antea Srl,,,","0.1.0,Antea IFC Export,tech.antea:eywa2ifc
",,,
